,Show_ID_tmdb,name_tmdb,Genre,Overview_Text_tvdb,Vote_Average_tmdb,Vote_Count_tmdb
0,46619,Rectify,[18],"After 19 years on Death Row for the rape and murder of his teenage girlfriend, Daniel Holden is going home. His conviction has been vacated due to new DNA evidence. Now he has to return to a world he no longer knows and his reentry into the outside world may be as unforgiving as prison. Daniel is haunted by the past, dogged by the present, and uncertain of the future. As he struggles to adapt to his new life, his homecoming reignites the fears of a small town and threatens to shatter his family’s fragile peace. Daniel’s alleged crime divided a community. Will his freedom tear it in half?",7.5,208
1,1915,The Larry Sanders Show,[35],"Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show. Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.",7.9,50
2,3222,Murder One,[18],"Theodore 'Teddy' Hoffman is a highly-regarded defense attorney in a prestigious Los Angeles law firm. Having successfully defended the wealthy but suspicious Richard Cross in a much-publicised murder trial, he is now involved in the defense of Neil Avedon, a famous young actor who has been suffering from severe drug and alcohol problems - and has been charged with the murder for which Cross was acquitted.",8.2,20
3,2996,The Office,[35],Documentary-style sitcom set in the offices of a Slough paper merchant.,7.9,542
4,54344,The Leftovers,"[10765, 18]","When 2% of the world's population abruptly disappears without explanation, the world struggles to understand just what they're supposed to do about it. The drama series 'The Leftovers' is the story of the people who didn't make the cut.",7.6,687
5,1438,The Wire,"[80, 18]","Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.",8.5,1576
6,1398,The Sopranos,[18],"The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.",8.5,1781
7,65495,Atlanta,"[35, 18]",Two cousins work through the Atlanta music scene in order to better their lives and the lives of their families.,8.0,437
8,82049,America to Me,[99],"A year-long immersion into one of Chicago's most progressive and diverse public schools, located in suburban Oak Park. Both intimate and epic, exploring America's charged state of race, culture and education today with unprecedented depth and scope.",8.0,4
9,1920,Twin Peaks,"[18, 9648]",The body of Laura Palmer is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.,8.2,1408
10,66738,O.J.: Made in America,[99],"The rise and fall of American football star, O.J. Simpson, from his days growing up in Los Angeles to his murder trial that polarized the country.",8.1,23
11,1396,Breaking Bad,[18],"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",8.8,8991
12,66859,Better Things,"[35, 18]","Sam Fox is a single, working actor with no filter trying to raise her three daughters – Max, Frankie and Duke – in Los Angeles. She is mom, dad, referee and the cops.",7.3,116
13,67070,Fleabag,"[35, 18]",A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,8.2,674
14,60622,Fargo,"[80, 18]","A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.",8.3,1861
15,61920,Catastrophe,[35],Rob Delaney and Sharon Horgan write and star in a comedy that follows an American man and an Irish woman who make a bloody mess as they struggle to fall in love in London.,7.6,88
16,122196,The Staircase,"[18, 80]","An exploration of the life of Michael Peterson, his sprawling North Carolina family, and the suspicious death of his wife, Kathleen Peterson.",6.9,24
17,46533,The Americans,"[80, 18]","Set during the Cold War period in the 1980s, The Americans is the story of Elizabeth and Philip Jennings, two Soviet KGB officers posing as an American married couple in the suburbs of Washington D.C. and their neighbor, Stan Beeman, an FBI Counterintelligence agent.",7.9,651
18,4464,Homicide: Life on the Street,"[9648, 18, 80]",An American police procedural chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,8.2,90
19,60059,Better Call Saul,"[80, 18]","Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",8.5,2902
20,1399,Game of Thrones,"[10765, 18, 10759]","Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",8.4,18227
21,73107,Barry,"[35, 80, 18]",A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,7.9,445
22,61406,Transparent,"[35, 18]",An LA family with serious boundary issues have their past and future unravel when a dramatic admission causes everyone's secrets to spill out.,6.4,111
23,1406,Deadwood,"[37, 80, 18]","The story of the early days of Deadwood, South Dakota; woven around actual historic events with most of the main characters based on real people. Deadwood starts as a gold mining camp and gradually turns from a lawless wild-west community into an organized wild-west civilized town. The story focuses on the real-life characters Seth Bullock and Al Swearengen.",8.1,587
24,112026,City So Real,[99],"Academy Award-nominated filmmaker Steve James’ fascinating and complex portrait of contemporary Chicago delivers a deep, multifaceted look into the soul of a quintessentially American city, set against the backdrop of its history-making 2019 mayoral election, and the tumultuous 2020 summer of COVID-19 and social upheaval following the police killing of George Floyd.",0.0,0
