index,author,review_source,title,season,release_date,review_length
0,Melanie McFarland,Salon,Rectify,4.0,26-Oct-16,318
1,Alan Sepinwall,Hitfix,Rectify,4.0,26-Oct-16,408
2,Mike McDaniel,Houston Chronicle,The Larry Sanders Show,4.0,19-Jul-95,312
3,Howard Rosenberg,Los Angeles Times,Murder One,1.0,19-Sep-95,663
4,Steve Johnson,Chicago Tribune,Murder One,1.0,19-Sep-95,463
5,Tom Feran,Cleveland Plain Dealer,Murder One,1.0,19-Sep-95,387
6,Robert Bianco,Pittsburgh Post-Gazette,Murder One,1.0,19-Sep-95,318
7,John J. O'Connor,The New York Times,Murder One,1.0,19-Sep-95,377
8,Tom Shales,Washington Post,Murder One,1.0,19-Sep-95,358
9,Steve Johnson,Chicago Tribune,The Larry Sanders Show,6.0,15-Mar-98,367
10,Diane Werts,Newsday,The Office (UK),3.0,26-Dec-03,338
11,Maureen Ryan,Chicago Tribune,The Office (UK),3.0,26-Dec-03,310
12,Heather Havrilesky,Salon,The Office (UK),1.0,9-Jul-01,383
13,Alan Sepinwall,UPROXX,The Leftovers,3.0,16-Apr-17,467
14,James Poniewozik,The New York Times,The Leftovers,3.0,16-Apr-17,487
15,Brian Tallerico,RogerEbert.com,The Leftovers,3.0,16-Apr-17,303
16,Sophie Gilbert,The Atlantic,The Leftovers,3.0,16-Apr-17,329
17,Dan Fienberg,The Hollywood Reporter,The Leftovers,3.0,16-Apr-17,303
18,Sid Smith,Chicago Tribune,The Wire,3.0,19-Sep-04,349
19,Mark Peyser,Newsweek,The Sopranos,2.0,16-Jan-00,332
20,Matthew Gilbert,Boston Globe,The Sopranos,2.0,16-Jan-00,476
21,Steve Johnson,Chicago Tribune,The Sopranos,2.0,16-Jan-00,384
22,Ken Tucker,Entertainment Weekly,The Sopranos,2.0,16-Jan-00,305
23,Charlie McCollum,San Jose Mercury News/Contra Costa Times,The Sopranos,2.0,16-Jan-00,436
24,Howard Rosenberg,Los Angeles Times,The Larry Sanders Show,5.0,13-Nov-96,351
25,David Wiegand,San Francisco Chronicle,Atlanta,2.0,1-Mar-18,335
26,Sonia Saraiya,Variety,Atlanta,2.0,1-Mar-18,434
